giftcard_id,amount,publish_date,expire_date
0000000001,300,3/21/2011,3/20/2012
0000000002,500,4/18/2011,4/17/2012
0000000003,500,4/24/2011,4/23/2012
0000000004,200,4/29/2011,4/28/2012
0000000005,300,5/15/2011,5/14/2012
0000000006,200,5/24/2011,5/23/2012
0000000007,300,7/10/2011,7/9/2012
0000000008,200,8/5/2011,8/4/2012
0000000009,100,8/23/2011,8/22/2012
0000000010,1000,10/1/2011,9/30/2012
0000000011,500,11/1/2011,10/31/2012
0000000012,100,11/25/2011,11/24/2012
0000000013,500,12/19/2011,12/18/2012
0000000014,1000,12/25/2011,12/24/2012
0000000015,500,1/2/2012,1/1/2013
0000000016,300,2/9/2012,2/8/2013
0000000017,300,2/15/2012,2/14/2013
0000000018,200,2/21/2012,2/20/2013
0000000019,300,3/8/2012,3/8/2013
0000000020,1000,3/9/2012,3/9/2013
0000000021,300,3/24/2012,3/24/2013
0000000022,100,4/2/2012,4/2/2013
0000000023,1000,4/10/2012,4/10/2013
0000000024,100,4/10/2012,4/10/2013
0000000025,200,4/14/2012,4/14/2013
0000000026,100,4/16/2012,4/16/2013
0000000027,1000,4/27/2012,4/27/2013
0000000028,200,4/28/2012,4/28/2013
0000000029,1000,5/1/2012,5/1/2013
0000000030,1000,6/9/2012,6/9/2013
0000000031,1000,6/19/2012,6/19/2013
0000000032,500,6/28/2012,6/28/2013
0000000033,500,7/12/2012,7/12/2013
0000000034,500,7/18/2012,7/18/2013
0000000035,1000,8/9/2012,8/9/2013
0000000036,200,8/25/2012,8/25/2013
0000000037,500,8/30/2012,8/30/2013
0000000038,100,9/2/2012,9/2/2013
0000000039,100,9/9/2012,9/9/2013
0000000040,500,9/12/2012,9/12/2013
0000000041,1000,9/12/2012,9/12/2013
0000000042,100,10/1/2012,10/1/2013
0000000043,1000,10/13/2012,10/13/2013
0000000044,300,10/25/2012,10/25/2013
0000000045,300,12/4/2012,12/4/2013
0000000046,1000,12/15/2012,12/15/2013
0000000047,500,1/6/2013,1/6/2014
0000000048,100,1/6/2013,1/6/2014
0000000049,100,2/8/2013,2/8/2014
0000000050,300,2/12/2013,2/12/2014
0000000051,300,4/16/2013,4/16/2014
0000000052,500,4/17/2013,4/17/2014
0000000053,200,4/18/2013,4/18/2014
0000000054,200,6/10/2013,6/10/2014
0000000055,1000,6/30/2013,6/30/2014
0000000056,300,7/8/2013,7/8/2014
0000000057,100,7/11/2013,7/11/2014
0000000058,200,7/13/2013,7/13/2014
0000000059,1000,7/15/2013,7/15/2014
0000000060,100,8/17/2013,8/17/2014
0000000061,100,9/11/2013,9/11/2014
0000000062,500,9/25/2013,9/25/2014
0000000063,1000,9/30/2013,9/30/2014
0000000064,200,10/8/2013,10/8/2014
0000000065,200,10/11/2013,10/11/2014
0000000066,1000,10/16/2013,10/16/2014
0000000067,200,10/31/2013,10/31/2014
0000000068,1000,11/14/2013,11/14/2014
0000000069,1000,12/27/2013,12/27/2014
0000000070,300,1/8/2014,1/8/2015
0000000071,500,1/29/2014,1/29/2015
0000000072,1000,1/30/2014,1/30/2015
0000000073,100,2/8/2014,2/8/2015
0000000074,1000,3/26/2014,3/26/2015
0000000075,100,4/2/2014,4/2/2015
0000000076,100,4/22/2014,4/22/2015
0000000077,200,4/27/2014,4/27/2015
