P000000001,01/01/2009,01/01/9999,2510
P000000002,01/01/2009,01/02/9999,860
P000000003,01/01/2009,01/03/9999,380
P000000004,01/01/2009,01/04/9999,2530
P000000005,01/02/2009,01/05/9999,680
P000000006,01/02/2009,01/06/9999,1000
P000000007,01/02/2009,01/07/9999,860
P000000008,01/03/2009,01/08/9999,2300
P000000009,01/05/2009,01/09/9999,2460
P000000010,01/05/2009,01/10/9999,1400
P000000011,01/06/2009,01/11/9999,1490
P000000012,01/06/2009,01/12/9999,790
P000000013,01/06/2009,01/13/9999,1200
P000000014,01/06/2009,01/14/9999,1700
P000000015,01/06/2009,01/15/9999,1960
P000000016,01/07/2009,01/16/9999,2490
P000000017,01/07/2009,01/17/9999,1520
P000000018,01/09/2009,01/18/9999,780
P000000019,01/10/2009,01/19/9999,580
P000000020,01/10/2009,01/20/9999,1500
P000000021,01/10/2009,01/21/9999,2400
P000000022,01/11/2009,01/22/9999,500
P000000023,01/11/2009,01/23/9999,3110
P000000024,01/11/2009,01/24/9999,3110
P000000025,01/12/2009,01/25/9999,860
P000000026,01/12/2009,01/26/9999,590
P000000027,01/12/2009,01/27/9999,1490
P000000028,01/12/2009,01/28/9999,110
P000000029,01/13/2009,01/29/9999,6150
P000000030,01/14/2009,01/30/9999,4610
P000000031,01/14/2009,01/31/9999,2000
P000000032,01/14/2009,02/01/9999,1800
P000000033,01/14/2009,02/02/9999,540
P000000034,01/14/2009,02/03/9999,1380
P000000035,01/14/2009,02/04/9999,950
P000000036,01/15/2009,02/05/9999,740
P000000037,01/16/2009,02/06/9999,4710
P000000038,01/16/2009,02/07/9999,2600
P000000039,01/16/2009,02/08/9999,4700
P000000040,01/16/2009,02/09/9999,2840
P000000041,01/16/2009,02/10/9999,510
P000000042,01/16/2009,02/11/9999,2160
P000000043,01/16/2009,02/12/9999,1670
P000000044,01/16/2009,02/13/9999,520
P000000045,01/17/2009,02/14/9999,6540
P000000046,01/17/2009,02/15/9999,530
P000000047,01/18/2009,02/16/9999,1850
P000000048,01/19/2009,02/17/9999,5090
P000000049,01/19/2009,02/18/9999,260
P000000050,01/19/2009,02/19/9999,2890
P000000051,01/20/2009,02/20/9999,3960
P000000052,01/20/2009,02/21/9999,260
P000000053,01/21/2009,02/22/9999,200
P000000054,01/21/2009,02/23/9999,240
P000000055,01/23/2009,02/24/9999,410
P000000056,01/23/2009,02/25/9999,400
P000000057,01/24/2009,02/26/9999,2540
P000000058,01/25/2009,02/27/9999,470
P000000059,01/25/2009,02/28/9999,5630
P000000060,01/25/2009,03/01/9999,450
P000000061,01/26/2009,03/02/9999,290
P000000062,01/27/2009,03/03/9999,280
P000000063,01/27/2009,03/04/9999,199
P000000064,01/27/2009,03/05/9999,1090
P000000065,01/28/2009,03/06/9999,1260
P000000066,01/28/2009,03/07/9999,290
P000000067,01/28/2009,03/08/9999,420
P000000068,01/29/2009,03/09/9999,450
P000000069,01/29/2009,03/10/9999,350
P000000070,01/30/2009,03/11/9999,1000
P000000071,01/31/2009,03/12/9999,320
P000000072,01/31/2009,03/13/9999,1450
P000000073,02/01/2009,03/14/9999,560
P000000074,02/01/2009,03/15/9999,1150
P000000075,02/01/2009,03/16/9999,590
P000000076,02/01/2009,03/17/9999,350
P000000077,02/01/2009,03/18/9999,610
P000000078,02/01/2009,03/19/9999,200
P000000079,02/01/2009,03/20/9999,230
P000000080,02/01/2009,03/21/9999,230
P000000081,02/01/2009,03/22/9999,350
P000000082,02/02/2009,03/23/9999,1680
P000000083,02/02/2009,03/24/9999,420
P000000084,02/02/2009,03/25/9999,550
P000000085,02/02/2009,03/26/9999,260
P000000086,02/02/2009,03/27/9999,460
P000000087,02/03/2009,03/28/9999,150
P000000088,02/03/2009,03/29/9999,440
P000000089,02/04/2009,03/30/9999,390
P000000090,02/04/2009,03/31/9999,840
P000000091,02/04/2009,04/01/9999,630
P000000092,02/05/2009,04/02/9999,530
P000000093,02/06/2009,04/03/9999,830
P000000094,02/06/2009,04/04/9999,1080
P000000095,02/06/2009,04/05/9999,1210
P000000096,02/07/2009,04/06/9999,690
P000000097,02/07/2009,04/07/9999,470
P000000098,02/08/2009,04/08/9999,950
P000000099,02/08/2009,04/09/9999,500
P000000100,02/08/2009,04/10/9999,270
P000000101,02/08/2009,04/11/9999,540
P000000102,02/08/2009,04/12/9999,390
P000000103,02/09/2009,04/13/9999,6100
P000000104,02/09/2009,04/14/9999,1530
P000000105,02/09/2009,04/15/9999,4600
P000000106,02/10/2009,04/16/9999,440
P000000107,02/10/2009,04/17/9999,3200
P000000108,02/10/2009,04/18/9999,310
P000000109,02/10/2009,04/19/9999,7250
P000000110,02/10/2009,04/20/9999,520
P000000111,02/10/2009,04/21/9999,2440
P000000112,02/11/2009,04/22/9999,1680
P000000113,02/11/2009,04/23/9999,2680
P000000114,02/11/2009,04/24/9999,870
P000000115,02/12/2009,04/25/9999,3170
P000000116,02/12/2009,04/26/9999,870
P000000117,02/12/2009,04/27/9999,220
P000000118,02/14/2009,04/28/9999,3170
P000000119,02/14/2009,04/29/9999,1860
P000000120,02/14/2009,04/30/9999,7400
