Date,Time
2011-01-02,01:22:45
2011-01-02,09:44:16
2011-01-03,06:30:33
2011-01-03,07:41:02
2011-01-05,12:39:58
2011-01-07,06:42:44
2011-01-09,11:50:36
2011-01-11,12:16:17
2011-01-12,00:22:03
2011-01-12,07:38:08
2011-01-14,01:38:57
2011-01-14,06:59:29
2011-01-14,08:27:13
2011-01-15,08:44:03
2011-01-16,02:51:34
2011-01-16,05:40:49
2011-01-18,03:01:15
2011-01-19,15:09:18
2011-01-20,02:22:39
2011-01-20,17:37:20
2011-01-22,06:31:35
2011-01-22,06:54:19
2011-01-24,11:05:28
2011-01-29,04:02:41
2011-01-29,05:30:51
2011-01-30,01:58:20
2011-01-30,04:31:12
2011-01-31,01:18:25
2011-01-31,05:31:11
2011-02-01,06:04:42
2011-02-01,08:07:19
2011-02-02,18:21:58
2011-02-03,04:25:52
2011-02-04,07:30:24
2011-02-04,14:52:21
2011-02-06,11:55:27
2011-02-07,08:41:41
2011-02-07,13:49:07
2011-02-07,16:42:25
2011-02-08,05:36:21
2011-02-08,10:55:38
2011-02-09,16:21:17
2011-02-11,14:53:45
2011-02-11,17:37:25
2011-02-12,01:50:27
2011-02-12,03:20:19
2011-02-13,04:32:54
2011-02-14,10:06:51
2011-02-14,14:10:45
2011-02-17,02:53:11
2011-02-17,05:14:43
2011-02-18,04:38:08
2011-02-18,07:18:36
2011-02-20,10:34:00
2011-02-20,10:47:11
2011-02-20,11:56:43
2011-02-21,03:04:02
2011-02-21,05:54:03
2011-02-21,06:03:14
2011-02-21,13:23:16
2011-02-21,16:19:46
2011-02-23,09:28:46
2011-02-28,11:08:02
2011-02-28,11:29:34
2011-03-01,10:06:28
2011-03-01,11:20:11
2011-03-03,11:14:19
2011-03-04,04:56:45
2011-03-04,05:37:34
2011-03-05,00:05:54
2011-03-07,16:54:16
2011-03-08,00:24:49
2011-03-08,03:34:10
2011-03-09,11:59:06
2011-03-10,03:42:35
2011-03-12,05:26:33
2011-03-17,03:47:58
2011-03-19,02:36:53
2011-03-21,02:30:59
2011-03-22,07:04:00
2011-03-22,11:22:46
2011-03-22,13:26:56
2011-03-27,02:27:20
2011-03-27,05:05:11
2011-03-30,02:34:51
2011-03-30,16:18:58
2011-03-31,02:49:12
2011-03-31,04:02:31
2011-04-01,06:09:23
2011-04-01,07:28:58
2011-04-01,10:19:13
2011-04-04,02:45:15
2011-04-04,06:09:46
2011-04-05,14:35:53
2011-04-08,00:17:05
2011-04-08,06:15:01
2011-04-09,05:54:31
2011-04-09,09:01:36
2011-04-09,10:08:54
2011-04-11,00:26:51
2011-04-11,09:16:14
2011-04-11,10:01:08
2011-04-11,11:22:52
2011-04-12,12:37:18
2011-04-13,07:02:25
2011-04-13,12:57:44
2011-04-14,05:02:45
2011-04-14,15:02:25
2011-04-15,04:04:39
2011-04-16,03:55:02
2011-04-17,02:11:21
2011-04-19,02:53:00
2011-04-19,15:04:26
2011-04-19,17:30:48
2011-04-20,05:39:11
2011-04-20,14:15:06
2011-04-21,15:33:41
2011-04-29,09:00:55
2011-04-30,10:39:49
2011-05-01,04:26:23
2011-05-02,02:48:20
2011-05-04,04:46:43
2011-05-05,07:16:30
2011-05-07,10:44:34
2011-05-08,09:41:04
2011-05-10,04:26:50
2011-05-10,13:33:18
2011-05-11,10:48:19
2011-05-12,13:10:58
2011-05-13,01:47:43
2011-05-13,08:36:31
2011-05-16,12:45:48
2011-05-19,02:31:29
2011-05-19,16:29:01
2011-05-20,13:04:49
2011-05-21,04:39:21
2011-05-23,07:12:45
2011-05-23,10:06:54
2011-05-24,11:48:14
2011-05-26,03:10:09
2011-05-26,03:16:16
2011-05-26,03:47:22
2011-05-26,09:04:19
2011-05-27,06:56:49
2011-05-29,02:34:32
2011-05-29,09:48:05
2011-06-01,17:38:27
2011-06-02,01:25:17
2011-06-02,04:09:25
2011-06-03,00:23:15
2011-06-04,05:22:51
2011-06-06,16:20:25
2011-06-07,04:38:45
2011-06-07,11:29:40
2011-06-10,05:50:40
2011-06-11,10:11:56
2011-06-13,06:08:55
2011-06-13,08:49:09
2011-06-15,07:01:36
2011-06-15,08:27:38
2011-06-15,11:07:07
2011-06-16,12:28:58
2011-06-17,10:11:15
2011-06-17,10:14:27
2011-06-19,09:47:37
2011-06-20,09:44:32
2011-06-20,10:54:30
2011-06-21,07:03:58
2011-06-22,12:39:03
2011-06-23,01:28:57
2011-06-23,02:04:14
2011-06-23,05:51:57
2011-06-23,06:02:30
2011-06-23,10:06:27
2011-06-25,09:01:00
2011-06-26,01:01:25
2011-06-26,01:02:29
2011-06-26,01:25:05
2011-06-27,05:36:43
2011-06-27,13:02:31
2011-06-27,15:40:35
2011-06-27,15:45:09
2011-06-28,01:30:46
2011-06-29,03:31:33
2011-06-29,09:17:33
2011-07-01,03:48:50
2011-07-01,05:45:14
2011-07-01,09:02:24
2011-07-02,06:47:29
2011-07-02,07:08:42
2011-07-02,07:21:17
2011-07-04,14:29:51
2011-07-04,15:15:15
2011-07-05,01:29:13
2011-07-05,13:47:56
2011-07-06,09:27:21
2011-07-08,15:55:44
2011-07-09,04:51:39
2011-07-12,02:55:02
2011-07-12,16:14:57
2011-07-14,07:22:54
2011-07-16,04:48:08
2011-07-16,07:45:42
2011-07-16,09:26:16
2011-07-20,02:33:35
2011-07-20,06:57:55
2011-07-22,03:28:58
2011-07-22,10:56:15
2011-07-22,14:18:42
2011-07-22,14:42:35
2011-07-22,17:54:49
2011-07-25,14:01:56
2011-07-26,15:29:38
2011-07-30,02:29:21
2011-07-30,07:33:08
2011-07-30,11:40:12
2011-08-01,01:28:14
2011-08-01,02:31:02
2011-08-01,03:07:40
2011-08-01,07:44:33
2011-08-02,04:37:28
2011-08-02,14:39:08
2011-08-04,00:45:07
2011-08-04,03:30:37
2011-08-06,03:10:23
2011-08-06,04:59:48
2011-08-08,20:25:16
2011-08-09,15:41:26
2011-08-10,01:07:51
2011-08-11,04:17:45
2011-08-13,04:38:50
2011-08-16,15:34:23
2011-08-17,17:27:46
2011-08-18,07:14:50
2011-08-19,01:25:27
2011-08-20,01:57:12
2011-08-22,12:11:42
2011-08-24,12:46:11
2011-08-25,00:24:00
2011-08-25,02:16:12
2011-08-25,04:07:55
2011-08-27,08:13:44
2011-08-29,05:17:06
2011-08-31,06:55:36
2011-09-02,05:01:53
2011-09-03,05:46:53
2011-09-03,05:56:26
2011-09-03,11:42:56
2011-09-04,05:58:54
2011-09-04,09:40:19
2011-09-05,05:11:39
2011-09-06,00:16:31
2011-09-06,04:06:23
2011-09-06,10:57:27
2011-09-07,08:54:25
2011-09-07,12:49:34
2011-09-08,04:31:05
2011-09-09,03:20:33
2011-09-09,13:16:52
2011-09-10,02:13:11
2011-09-13,04:19:50
2011-09-14,04:13:58
2011-09-16,05:29:39
2011-09-17,09:46:11
2011-09-19,02:17:14
2011-09-23,01:30:15
2011-09-23,17:04:11
2011-09-23,17:19:38
2011-09-24,04:17:58
2011-09-24,11:18:53
2011-10-01,07:39:09
2011-10-01,11:06:31
2011-10-06,01:08:22
2011-10-06,03:34:36
2011-10-08,09:24:30
2011-10-10,00:39:36
2011-10-10,06:43:12
2011-10-10,08:22:14
2011-10-12,00:19:36
2011-10-13,14:55:08
2011-10-15,01:03:42
2011-10-19,06:35:34
2011-10-19,09:49:13
2011-10-20,03:31:00
2011-10-20,06:59:57
2011-10-25,16:51:15
2011-10-27,02:48:38
2011-10-27,04:34:02
2011-10-27,16:30:48
2011-10-28,08:49:09
2011-10-28,14:37:35
2011-10-29,09:40:25
2011-10-30,10:02:51
2011-10-30,11:12:43
2011-11-01,00:53:35
2011-11-01,12:12:11
2011-11-01,15:24:09
2011-11-03,01:19:38
2011-11-03,09:09:38
2011-11-04,09:28:02
2011-11-05,05:31:23
2011-11-06,11:25:46
2011-11-07,08:53:22
2011-11-08,01:33:20
2011-11-09,00:41:34
2011-11-09,08:42:46
2011-11-10,10:22:51
2011-11-14,10:43:19
2011-11-16,13:34:23
2011-11-17,12:25:50
2011-11-18,00:26:06
2011-11-18,15:06:50
2011-11-19,03:55:41
2011-11-20,06:22:11
2011-11-21,01:55:26
2011-11-21,03:56:48
2011-11-21,04:03:16
2011-11-21,09:31:29
2011-11-21,14:48:36
2011-11-22,02:57:27
2011-11-22,05:23:12
2011-11-22,14:33:47
2011-11-23,00:41:47
2011-11-28,00:58:01
2011-11-28,17:23:33
2011-11-30,06:57:49
2011-12-01,17:50:46
2011-12-01,17:59:55
2011-12-02,09:49:26
2011-12-02,10:46:44
2011-12-02,14:43:26
2011-12-04,08:22:58
2011-12-05,09:04:06
2011-12-06,01:15:36
2011-12-06,01:38:32
2011-12-06,16:39:07
2011-12-07,02:40:18
2011-12-07,16:30:59
2011-12-07,16:38:07
2011-12-09,06:32:15
2011-12-09,15:25:30
2011-12-11,00:12:45
2011-12-11,01:22:41
2011-12-11,02:10:36
2011-12-11,02:44:06
2011-12-12,09:27:28
2011-12-12,20:55:12
2011-12-18,01:47:44
2011-12-18,08:16:30
2011-12-19,00:29:22
2011-12-19,13:32:57
2011-12-22,11:28:20
2011-12-23,10:58:32
2011-12-25,00:00:50
2011-12-25,10:11:05
2011-12-25,11:22:40
2011-12-27,09:17:44
2011-12-28,07:49:54
2011-12-28,15:40:09
2011-12-30,01:21:45
2011-12-30,03:20:03
2011-12-31,04:34:18
2011-12-31,09:22:57
2011-12-31,11:03:54
2012-01-01,07:40:36
2012-01-04,15:54:23
2012-01-07,02:46:04
2012-01-08,07:34:22
2012-01-08,11:54:21
2012-01-09,01:04:36
2012-01-09,08:02:03
2012-01-13,00:25:04
2012-01-13,10:59:52
2012-01-14,01:56:15
2012-01-16,01:37:35
2012-01-16,11:02:13
2012-01-17,05:28:14
2012-01-18,01:27:28
2012-01-19,13:09:14
2012-01-19,13:46:18
2012-01-21,00:22:15
2012-01-22,02:43:38
2012-01-22,10:27:33
2012-01-22,11:04:20
2012-01-23,02:16:36
2012-01-23,16:29:51
2012-01-24,04:15:36
2012-01-25,11:03:32
2012-01-27,01:16:00
2012-01-27,15:47:32
2012-01-31,07:10:19
2012-01-31,08:46:18
2012-01-31,15:27:26
2012-02-03,09:12:57
2012-02-04,00:04:33
2012-02-04,04:04:35
2012-02-04,07:15:50
2012-02-04,07:44:25
2012-02-06,01:41:46
2012-02-07,16:51:16
2012-02-07,17:33:35
2012-02-09,16:46:42
2012-02-11,07:47:31
2012-02-13,07:06:43
2012-02-13,07:28:12
2012-02-15,09:33:52
2012-02-16,01:49:21
2012-02-17,10:15:47
2012-02-17,10:45:49
2012-02-19,01:02:55
2012-02-19,04:42:27
2012-02-19,10:02:06
2012-02-20,03:38:57
2012-02-20,07:24:26
2012-02-20,13:58:53
2012-02-21,08:41:13
2012-02-22,04:41:14
2012-02-24,08:04:03
